Input Config,Input String,Asset Name,Vector,Vector Alternate
INPUT_GAMEPAD_TYPE_UNKNOWN,face south,SpriteGamepadFaceSouth,kenney_input-prompts_1.5.zip/Nintendo Switch 2/Vector/switch_buttons_down_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,face east,SpriteGamepadFaceEast,kenney_input-prompts_1.5.zip/Nintendo Switch 2/Vector/switch_buttons_right_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,face west,SpriteGamepadFaceWest,kenney_input-prompts_1.5.zip/Nintendo Switch 2/Vector/switch_buttons_left_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,face north,SpriteGamepadFaceNorth,kenney_input-prompts_1.5.zip/Nintendo Switch 2/Vector/switch_buttons_up_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder l,SpriteGamepadShoulderL,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_l1_alternative.svg,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_l1_alternative_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder r,SpriteGamepadShoulderR,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_r1_alternative.svg,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_r1_alternative_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger l,SpriteGamepadTriggerL,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_l2_alternative.svg,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_l2_alternative_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger r,SpriteGamepadTriggerR,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_r2_alternative.svg,kenney_input-prompts_1.5.zip/PlayStation Series/Vector/playstation_trigger_r2_alternative_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,select,SpriteGamepadSelect,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_button_back_icon.svg,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_button_back_icon_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,start,SpriteGamepadStart,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_button_start_icon.svg,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_button_start_icon_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,home,SpriteGamepadHome,kenney_input-prompts_1.5.zip/Nintendo Switch 2/Vector/switch_button_home.svg,kenney_input-prompts_1.5.zip/Nintendo Switch 2/Vector/switch_button_home_outline.svg
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad left,SpriteGamepadDpadLeft,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_dpad_left_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad right,SpriteGamepadDpadRight,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_dpad_right_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad up,SpriteGamepadDpadUp,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_dpad_up_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad down,SpriteGamepadDpadDown,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_dpad_down_outline.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l left,SpriteGamepadThumbstickLLeft,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_stick_l_left.svg,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l right,SpriteGamepadThumbstickLRight,kenney_input-prompts_1.5.zip/Xbox Series/Vector/xbox_stick_l_right.svg,
