Input Config,Input String,Asset Name,X,Y,W,H,Alt X,Alt Y,Alt W,Alt H,Compose
INPUT_GAMEPAD_TYPE_UNKNOWN,face south,SpriteGamepadFaceSouth,6,11,1,1,2,9,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,face east,SpriteGamepadFaceEast,5,11,1,1,1,9,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,face west,SpriteGamepadFaceWest,7,11,1,1,3,9,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,face north,SpriteGamepadFaceNorth,4,11,1,1,0,9,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder l,SpriteGamepadShoulderL,19,19,1,1,19,18,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder r,SpriteGamepadShoulderR,20,19,1,1,20,18,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger l,SpriteGamepadTriggerL,21,19,1,1,21,18,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger r,SpriteGamepadTriggerR,22,19,1,1,22,18,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,select,SpriteGamepadSelect,26,21,1,1,26,20,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,start,SpriteGamepadStart,27,21,1,1,27,20,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,home,SpriteGamepadHome,2,21,1,1,2,20,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad left,SpriteGamepadDpadLeft,4,2,1,1,4,3,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad right,SpriteGamepadDpadRight,2,2,1,1,2,1,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad up,SpriteGamepadDpadUp,1,2,1,1,1,1,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad down,SpriteGamepadDpadDown,3,2,1,1,3,1,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l left,SpriteGamepadThumbstickLLeft,12,7,1,1,12,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l right,SpriteGamepadThumbstickLRight,10,7,1,1,10,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l up,SpriteGamepadThumbstickLUp,9,7,1,1,9,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l down,SpriteGamepadThumbstickLDown,11,7,1,1,11,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l click,SpriteGamepadThumbstickLClick,16,13,1,1,16,12,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r left,SpriteGamepadThumbstickRLeft,12,9,1,1,12,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r right,SpriteGamepadThumbstickRRight,10,9,1,1,10,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r up,SpriteGamepadThumbstickRUp,9,9,1,1,9,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r down,SpriteGamepadThumbstickRDown,11,9,1,1,11,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r click,SpriteGamepadThumbstickRClick,16,15,1,1,16,14,1,1,FALSE
INPUT_GAMEPAD_TYPE_UNKNOWN,touchpad,SpriteGamepadTouchpad,22,21,1,1,22,20,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,A,SpriteGamepadA,8,1,1,1,13,0,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,B,SpriteGamepadB,9,1,1,1,14,0,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,X,SpriteGamepadX,10,1,1,1,15,0,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,Y,SpriteGamepadY,11,1,1,1,16,0,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,LB,SpriteGamepadLB,9,17,1,1,9,16,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,RB,SpriteGamepadRB,10,17,1,1,10,16,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,LT,SpriteGamepadLT,13,17,1,1,13,16,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,RT,SpriteGamepadRT,14,17,1,1,14,16,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,view,SpriteGamepadView,4,19,1,1,4,18,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,menu,SpriteGamepadMenu,5,19,1,1,5,18,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,dpad left,SpriteGamepadDpadLeft,4,2,1,1,4,3,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,dpad right,SpriteGamepadDpadRight,2,2,1,1,2,1,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,dpad up,SpriteGamepadDpadUp,1,2,1,1,1,1,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,dpad down,SpriteGamepadDpadDown,3,2,1,1,3,1,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick l left,SpriteGamepadThumbstickLLeft,12,7,1,1,12,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick l right,SpriteGamepadThumbstickLRight,10,7,1,1,10,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick l up,SpriteGamepadThumbstickLUp,9,7,1,1,9,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick l down,SpriteGamepadThumbstickLDown,11,7,1,1,11,6,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick l click,SpriteGamepadThumbstickLClick,16,13,1,1,16,12,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick r left,SpriteGamepadThumbstickRLeft,12,9,1,1,12,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick r right,SpriteGamepadThumbstickRRight,10,9,1,1,10,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick r up,SpriteGamepadThumbstickRUp,9,9,1,1,9,8,1,1,FALSE
INPUT_GAMEPAD_TYPE_XBOX,thumbstick r down,SpriteGamepadThumbstickRDown,11,9,1,1,11,8,1,1,FALSE
