Input Config,Input String,Glyph Name,Codepoint,Alternate
INPUT_GAMEPAD_TYPE_UNKNOWN,face south,__MaruMonicaGlyphGamepadFaceSouth,e010,
INPUT_GAMEPAD_TYPE_UNKNOWN,face east,__MaruMonicaGlyphGamepadFaceEast,e011,
INPUT_GAMEPAD_TYPE_UNKNOWN,face west,__MaruMonicaGlyphGamepadFaceWest,e012,
INPUT_GAMEPAD_TYPE_UNKNOWN,face north,__MaruMonicaGlyphGamepadFaceNorth,e013,
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder l,__MaruMonicaGlyphGamepadShoulderL,e034,
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder r,__MaruMonicaGlyphGamepadShoulderR,e035,
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger l,__MaruMonicaGlyphGamepadTriggerL,e036,
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger r,__MaruMonicaGlyphGamepadTriggerR,e037,
INPUT_GAMEPAD_TYPE_UNKNOWN,select,__MaruMonicaGlyphGamepadSelect,e02a,
INPUT_GAMEPAD_TYPE_UNKNOWN,start,__MaruMonicaGlyphGamepadStart,e02b,
INPUT_GAMEPAD_TYPE_UNKNOWN,home,__MaruMonicaGlyphGamepadHome,e04f,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad left,__MaruMonicaGlyphGamepadDpadLeft,e003,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad right,__MaruMonicaGlyphGamepadDpadRight,e004,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad up,__MaruMonicaGlyphGamepadDpadUp,e001,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad down,__MaruMonicaGlyphGamepadDpadDown,e002,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l left,__MaruMonicaGlyphGamepadThumbstickLLeft,e014\u2190,e014\u21e6
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l right,__MaruMonicaGlyphGamepadThumbstickLRight,e014\u2192,e014\u21e8
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l up,__MaruMonicaGlyphGamepadThumbstickLUp,e014\u2191,e014\u21e7
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l down,__MaruMonicaGlyphGamepadThumbstickLDown,e014\u2193,e014\u21e9
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l click,__MaruMonicaGlyphGamepadThumbstickLClick,e028,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r left,__MaruMonicaGlyphGamepadThumbstickRLeft,e015\u2190,e015\u21e6
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r right,__MaruMonicaGlyphGamepadThumbstickRRight,e015\u2192,e015\u21e8
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r up,__MaruMonicaGlyphGamepadThumbstickRUp,e015\u2191,e015\u21e7
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r down,__MaruMonicaGlyphGamepadThumbstickRDown,e015\u2193,e015\u21e9
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r click,__MaruMonicaGlyphGamepadThumbstickRClick,e029,
INPUT_GAMEPAD_TYPE_UNKNOWN,touchpad,__MaruMonicaGlyphGamepadTouchpad,e03d,
INPUT_GAMEPAD_TYPE_XBOX,A,__MaruMonicaGlyphGamepadA,e020,
INPUT_GAMEPAD_TYPE_XBOX,B,__MaruMonicaGlyphGamepadB,e021,
