Input Config,Input String,Glyph Name,Codepoint,Alternate
INPUT_GAMEPAD_TYPE_UNKNOWN,face south,__PromptFontGlyphGamepadFaceSouth,21A7,
INPUT_GAMEPAD_TYPE_UNKNOWN,face east,__PromptFontGlyphGamepadFaceEast,21A6,
INPUT_GAMEPAD_TYPE_UNKNOWN,face west,__PromptFontGlyphGamepadFaceWest,21A4,
INPUT_GAMEPAD_TYPE_UNKNOWN,face north,__PromptFontGlyphGamepadFaceNorth,21A5,
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder l,__PromptFontGlyphGamepadShoulderL,21B0,
INPUT_GAMEPAD_TYPE_UNKNOWN,shoulder r,__PromptFontGlyphGamepadShoulderR,21B1,
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger l,__PromptFontGlyphGamepadTriggerL,21B2,
INPUT_GAMEPAD_TYPE_UNKNOWN,trigger r,__PromptFontGlyphGamepadTriggerR,21B3,
INPUT_GAMEPAD_TYPE_UNKNOWN,select,__PromptFontGlyphGamepadSelect,21F7,
INPUT_GAMEPAD_TYPE_UNKNOWN,start,__PromptFontGlyphGamepadStart,21F8,
INPUT_GAMEPAD_TYPE_UNKNOWN,home,__PromptFontGlyphGamepadHome,21F9,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad left,__PromptFontGlyphGamepadDpadLeft,227A,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad right,__PromptFontGlyphGamepadDpadRight,227C,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad up,__PromptFontGlyphGamepadDpadUp,227B,
INPUT_GAMEPAD_TYPE_UNKNOWN,dpad down,__PromptFontGlyphGamepadDpadDown,227D,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l left,__PromptFontGlyphGamepadThumbstickLLeft,21BC,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l right,__PromptFontGlyphGamepadThumbstickLRight,21C0,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l up,__PromptFontGlyphGamepadThumbstickLUp,21BE,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l down,__PromptFontGlyphGamepadThumbstickLDown,21C2,
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick l click,__PromptFontGlyphGamepadThumbstickLClick,21CB,21BA
INPUT_GAMEPAD_TYPE_UNKNOWN,thumbstick r left,__PromptFontGlyphGamepadThumbstickRLeft,21BD,
